icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
a3b87f,DAL1817 ,United States,1749938515.0,1749938515,-74.1808,40.6844,,True,8.23,185.62,,,,,False,0
a0e250,AAL1660 ,United States,1749938518.0,1749938518,-80.9205,34.8881,3017.52,False,147.42,189.03,11.7,,3162.3,,False,0
ad694c,SWA4099 ,United States,1749938494.0,1749938499,-80.189,40.4672,434.34,False,71.33,316.75,-3.9,,426.72,2110,False,0
a2222f,N2367Z  ,United States,1749938518.0,1749938518,-78.6044,40.4719,2712.72,False,96.21,76.71,0.0,,2804.16,5737,False,0
a39bfa,UAL886  ,United States,1749938518.0,1749938518,-80.1699,35.0604,10363.2,False,219.33,199.45,0.0,,10919.46,1672,False,0
a4c527,RPA4490 ,United States,1749938510.0,1749938510,-78.6308,38.0166,3642.36,False,173.06,256.42,0.33,,3832.86,4661,False,0
aae1ed,N800AR  ,United States,1749938517.0,1749938517,-77.4635,38.9358,76.2,False,61.54,290.56,0.0,,53.34,,False,0
adda95,N992FG  ,United States,1749938517.0,1749938518,-78.3105,36.0241,373.38,False,51.35,37.67,-0.33,,365.76,,False,0
a4fa17,PVO384  ,United States,1749938517.0,1749938518,-77.0092,38.9843,12192.0,False,187.7,225.0,-0.65,,12801.6,1472,False,0
c0481b,ROU1606 ,Canada,1749938518.0,1749938518,-80.471,36.9343,10972.8,False,214.46,183.71,0.0,,11544.3,6255,False,0
a857c2,PDT5758 ,United States,1749938517.0,1749938517,-75.4664,36.6879,8839.2,False,252.07,54.72,-0.65,,9319.26,1511,False,0
c04829,ROU1641 ,Canada,1749938371.0,1749938408,-78.9322,29.2043,10332.72,False,248.36,54.7,6.18,,10805.16,7331,False,0
a2ba4f,AAY2638 ,United States,1749938518.0,1749938518,-79.5014,34.3455,6705.6,False,215.11,333.43,10.73,,7071.36,3022,False,0
acba30,EDV5089 ,United States,1749938518.0,1749938518,-74.4294,40.6935,5128.26,False,207.89,236.51,-1.3,,5318.76,1110,False,0
c04811,ROU1673 ,Canada,1749938518.0,1749938519,-77.5445,33.6205,11277.6,False,245.37,24.79,0.0,,11925.3,2205,False,0
a3560b,DAL1695 ,United States,1749938515.0,1749938517,-77.4535,38.9474,,True,0.06,298.12,,,,,False,0
a2235b,N237JT  ,United States,1749938518.0,1749938518,-79.5526,38.1263,13716.0,False,201.2,235.42,-0.33,,14287.5,2620,False,0
